Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att2,Launch%3,AvgLen4,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,Pkatt,PKsv,PKm,Save%2,Gls,Ast,G+A,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls2,Ast3,G+A4,G-PK5,G+A-PK,xG6,xAG7,xG+xAG,npxG8,npxG+xAG9
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3,4,2,238,1.51,12,8,66.7,1,0,1,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson,BRA,GK,Liverpool,Premier League,30,1992,28,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7,28,28,2520,1.07,109,80,73.4,16,8,4,8,28.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30,53,5,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9,31,31,2699,1.77,188,136,74.5,11,9,11,4,12.9,7,2,0,28.6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,1994,13.3,9,0,0,0,1,10,0.28,2,0.15,34,92,37,386,57,19.2,27,70,25.7,30.6,157,6,3.8,10,0.75,14.7,14,13,1198,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,21,2002,34,58,3,1,5,1,50,0.3,-7,-0.21,193,568,34,1148,160,35.4,34.2,241,67.2,50.7,485,31,6.4,30,0.88,13.6,34,34,3060,1.71,158,99,65.2,11,9,14,10,29.4,5,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Emil Audero,ITA,GK,Inter,Serie A,26,1997,3.7,3,0,0,0,0,3.1,0.28,0.1,0.02,6,24,25,177,28,11.9,24.6,18,16.7,27.2,54,6,11.1,2,0.53,10.2,4,4,337,0.8,11,8,72.7,2,1,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicola Bagnolini,ITA,GK,Bologna,Serie A,19,2004,0.1,0,0,0,0,0,0,0.02,0,0.36,1,2,50,1,0,100,47,2,50,53,0,0,0,0,0,0,1,0,5,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusto Batalla,ARG,GK,Granada,La Liga,27,1996,17,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2,17,17,1530,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Daniel Batz,GER,GK,Mainz 05,Bundesliga,32,1991,4,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.5,11.3,4,4,360,0.75,17,14,82.4,0,2,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,33,1990,34,66,2,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1159,165,33.7,32.7,249,55.4,44.9,545,31,5.7,73,2.15,16.7,34,34,3060,1.94,211,143,69.7,13,7,14,2,5.9,5,3,0,60,0,1,1,0,0,1,0,0,0,0.2,0.2,0,1,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01
Alaa Bellaarouch,MAR,GK,Strasbourg,Ligue 1,21,2002,15,26,3,0,1,1,19.8,0.25,-5.2,-0.35,56,183,30.6,440,57,36.4,34.4,61,37.7,36,203,19,9.4,21,1.4,13.4,15,15,1350,1.73,63,37,63.5,4,2,9,2,13.3,4,1,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Bentley,ENG,GK,Wolves,Premier League,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36,33.8,33,48.5,36.9,50,0,0,3,0.7,13.3,5,3,383,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etrit Berisha,ALB,GK,Empoli,Serie A,34,1989,14,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33,90,50,40.8,236,11,4.7,10,0.71,12.4,14,14,1260,1.79,74,49,68.9,3,3,8,4,28.6,3,1,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,25,1998,4,11,0,0,1,0,10.9,0.32,-0.1,-0.02,18,61,29.5,118,26,42.4,38,23,47.8,42.5,56,3,5.4,0,0,9.6,4,4,360,2.75,34,23,67.6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Bizot,NED,GK,Brest,Ligue 1,32,1991,32,34,2,0,4,0,36.2,0.27,2.2,0.07,232,482,48.1,908,134,39.3,35.1,188,66.5,47.3,382,18,4.7,41,1.28,15.7,32,32,2876,1.06,129,94,75.2,15,10,7,13,40.6,3,1,0,33.3,0,0,0,0,0,3,1,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rubén Blanco,ESP,GK,Marseille,Ligue 1,28,1995,1.3,2,0,0,0,0,1.3,0.21,-0.7,-0.55,5,12,41.7,41,6,26.8,28.4,10,10,27,24,4,16.7,1,0.74,10.4,2,1,121,1.49,6,4,66.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,32,1991,21,30,4,0,7,0,25.3,0.28,-4.7,-0.22,57,155,36.8,822,89,14.7,25.7,134,25.4,30.7,251,16,6.4,37,1.76,17.6,21,21,1890,1.43,76,46,65.8,10,4,7,5,23.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,3,0,0,0,0,0,0,0,0,0,0,0
Yassine Bounou,MAR,GK,Sevilla,La Liga,32,1991,1,2,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,9,0,0,0,0,0,1,1,90,2,3,1,33.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claudio Bravo,CHI,GK,Betis,La Liga,40,1983,7,5,0,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4,6,0.86,12.6,7,7,630,0.71,20,16,75,3,4,0,2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,28,1995,4,3,0,0,1,0,5,0.23,2,0.49,22,61,36.1,168,15,31.5,31,11,72.7,51.7,55,1,1.8,5,1.25,16.6,4,4,360,0.75,22,19,86.4,3,1,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Brunst,GER,GK,Darmstadt 98,Bundesliga,28,1995,3,10,0,0,2,0,6.3,0.37,-3.7,-1.25,33,72,45.8,129,13,41.1,36,21,90.5,59.6,51,3,5.9,9,3,19.1,3,3,270,3.33,17,7,41.2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Bułka,POL,GK,Nice,Ligue 1,23,1999,34,29,5,0,1,1,30.7,0.22,2.7,0.08,74,189,39.2,1086,158,14.4,23.9,147,22.4,25.5,376,32,8.5,21,0.62,12.2,34,34,3060,0.85,105,74,77.1,15,10,9,17,50,8,3,0,37.5,0,0,0,0,0,2,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Elia Caprile,ITA,GK,Empoli,Serie A,21,2001,23,27,4,0,5,0,27.6,0.22,0.6,0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,391,31,7.9,20,0.87,13.3,23,23,2070,1.17,106,78,78.3,6,6,11,5,21.7,5,1,0,20,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Cárdenas,ESP,GK,Rayo Vallecano,La Liga,26,1997,1,1,0,0,0,0,0.9,0.93,-0.1,-0.07,2,15,13.3,36,5,36.1,36.3,4,50,53.5,5,0,0,2,2,17,1,1,90,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,23,2000,26.9,30,4,0,2,0,29.3,0.22,-0.7,-0.03,121,338,35.8,680,142,30.6,33.8,193,67.4,51.7,332,20,6,39,1.45,14.7,27,27,2425,1.11,107,75,75.7,15,5,7,8,29.6,7,2,1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
