Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls2,Ast3,G+A4,G-PK5,G+A-PK,xG6,xAG7,xG+xAG,npxG8,npxG+xAG9,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp2,Att3,Cmp%4,Cmp5,Att6,Cmp%7,Cmp8,Att9,Cmp%10,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive2,PassDead3,TO4,Sh5,Fld6,Def7,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl2,Tkl%,Lost,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
1,Max Aarons,ENG,RB,Bournemouth,Premier League,23,2000,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,43,26,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0.02,0.0,0.0,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,0.9,0.2,7,25,13,2,453,127,2,3,13,116,0,0,0,0,1,23,23,1.68,16,4,0,3,0,2,0.15,2,0,0,0,0,0,29,19,20,7,2,20,58.8,14,4,8,37,27,0,711,43,11,14,41.2,12,35.3,364,7,13,8,371,62,36.2,85,9,7,19,5,0.8,12,34,-22,-1.6,-1.97,14.2,27.1,-12.8,-0.94,-1.37,0,12,0,1,0,75,5,31.3
2,Brenden Aaronson,USA,AM,Union Berlin,Bundesliga,22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,18,7,38.9,1.28,0.5,0.11,0.29,18.4,0,0.11,0.0,0.0,365,472,77.3,4890,1506,206,240,85.8,105,130,80.8,19,32,59.4,2.0,0.1,22,30,14,3,439,29,5,1,22,12,6,2,3,0,4,21,53,3.76,41,1,8,0,0,8,0.57,6,0,2,0,0,0,32,18,13,13,6,16,50.0,16,25,2,34,4,0,675,11,47,34,44.2,41,53.2,406,9,41,38,457,42,41.4,68,2,16,20,2,1.07,17,23,-6,-0.43,0.53,15.4,21.2,-5.9,-0.42,-0.19,1,15,0,0,0,88,13,44.8
3,Paxten Aaronson,USA,CM,Eint Frankfurt,Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0.06,-0.1,-0.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,0.1,0.9,1,4,2,0,48,2,0,0,0,1,0,0,0,0,0,0,1,0.89,1,0,0,0,0,1,0.89,1,0,0,0,0,0,2,2,1,1,0,1,100.0,0,2,0,2,0,0,72,0,5,2,28.6,4,57.1,43,1,5,4,46,14,3.3,45,0,6,9,7,0.86,2,2,0,0.0,-0.03,1.1,2.6,-1.5,-1.3,-1.16,0,6,0,0,0,5,3,100.0
5,Yunis Abdelhamid,MAR,CB,Reims,Ligue 1,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,0.13,0.6,0.4,1552,1836,84.5,29618,9672,487,548,88.9,893,976,91.5,141,252,56.0,0.6,-0.3,8,129,3,0,1650,178,2,13,3,29,0,0,0,0,8,20,24,0.78,19,1,0,1,0,1,0.03,0,0,0,1,0,0,64,35,36,23,5,26,57.8,19,19,39,103,109,2,2185,293,35,8,53.3,7,46.7,1506,0,23,4,1403,90,90.9,90,30,0,0,0,1.29,37,46,-9,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97,0,26,0,0,1,149,61,62.2
6,Salis Abdul Samed,GHA,DM,Lens,Ligue 1,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0.17,-0.8,-0.8,796,895,88.9,12470,3008,393,433,90.8,330,360,91.7,41,54,75.9,1.1,-0.5,6,87,5,2,875,18,0,1,3,1,0,0,0,0,2,17,27,1.6,27,0,0,0,0,3,0.18,3,0,0,0,0,0,21,14,8,10,3,8,44.4,10,11,12,33,18,0,1022,21,7,7,36.8,11,57.9,823,0,23,11,780,56,49.6,81,11,10,15,4,1.74,20,18,2,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39,0,34,0,3,0,89,2,22.2
7,Nabil Aberdin,FRA,CB,Getafe,La Liga,20,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60,79,75.9,1159,426,22,26,84.6,29,34,85.3,7,17,41.2,0.0,0.0,0,4,0,0,75,4,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,4,0,87,4,1,0,0.0,0,0.0,47,0,1,1,54,90,5.3,90,2,0,0,3,0.0,1,3,-2,-1.0,-0.72,1.2,2.5,-1.3,-0.67,-0.48,0,1,0,0,0,10,4,40.0
8,Laurent Abergel,FRA,DM,Lorient,Ligue 1,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0.04,0.9,0.9,1551,1836,84.5,27382,8613,629,707,89.0,711,802,88.7,150,233,64.4,1.9,-1.2,30,188,23,3,1743,88,6,13,34,14,0,0,0,0,5,25,81,2.55,67,3,2,2,6,5,0.16,3,0,1,0,0,1,85,52,43,34,8,38,39.6,58,23,61,146,61,3,2164,105,10,44,67.7,18,27.7,1649,3,32,30,1502,87,93.5,89,29,1,23,0,0.88,41,59,-18,-0.57,1.68,34.8,50.1,-15.3,-0.48,0.37,0,36,0,0,0,226,15,51.7
9,Matthis Abline,FRA,CF,Nantes,Ligue 1,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28,20,87,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0.09,1.2,1.2,162,231,70.1,2410,448,91,128,71.1,52,68,76.5,9,11,81.8,0.9,-2.0,17,6,7,2,218,12,2,1,7,1,0,0,0,0,1,11,38,3.28,30,0,5,1,0,2,0.17,0,0,1,0,1,0,9,4,4,3,2,3,37.5,5,3,3,12,5,0,386,9,65,19,57.6,14,42.4,294,14,50,14,287,47,34.1,72,1,10,18,5,0.95,11,17,-6,-0.52,0.33,14.9,15.5,-0.6,-0.05,0.61,0,10,1,0,0,39,15,35.7
10,Abner,BRA,LB,Betis,La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14,33,58,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,4,0,0.0,0.26,0.0,0.0,0.0,15.4,0,0.03,-0.1,-0.1,615,797,77.2,9211,4552,351,394,89.1,203,265,76.6,37,79,46.8,1.0,0.0,8,20,7,2,628,165,0,3,26,158,0,0,0,0,4,23,14,0.9,13,0,0,0,0,0,0.0,0,0,0,0,0,0,25,19,15,9,1,17,50.0,17,18,15,40,62,0,966,72,28,7,53.8,5,38.5,447,5,18,11,502,61,40.9,82,12,8,22,10,1.61,20,20,0,0.0,-0.13,17.2,27.2,-9.9,-0.64,-0.8,0,16,0,1,0,79,14,58.3
11,Zakaria Aboukhlal,MAR,RW,Toulouse,Ligue 1,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2.0,0.2,2.2,23,20,75,0.36,0.0,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,0.07,0.2,0.0,140,196,71.4,2025,599,70,95,73.7,53,66,80.3,6,8,75.0,1.1,-0.2,5,10,9,1,185,11,0,0,5,9,0,0,0,0,0,7,20,2.39,10,0,2,3,2,2,0.24,0,0,0,1,1,0,9,8,1,5,3,3,25.0,9,8,1,10,2,0,305,1,38,8,25.8,22,71.0,233,8,22,12,229,58,24.6,74,1,4,21,0,1.54,11,10,1,0.12,0.31,8.1,13.4,-5.3,-0.64,-0.54,0,17,1,0,0,21,6,46.2
